ano,parlamentar,entidade_beneficiada,municipio,cnpj,orgao,objeto,valor
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE IBIRAREMA,IBIRAREMA,46.211.694/0001-07,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE IPAUSSU,IPAUSSU,44.563.583/0001-34,SAÚDE,CUSTEIO,150000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE OSCAR BRESSANDE,OSCAR BRESSANE,44.544.898/0001-34,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE PALMITAL,PALMITAL,44.543.981/0001-99,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE SALTO GRANDE,SALTO GRANDE,46.211.686/0001-60,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE SÃO PEDRO DO TURVO,SÃO PEDRO DO TURVO,46.634.314/0001-80,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE UBIRAJARA,UBIRAJARA,46.231.882/0001-05,SAÚDE,CUSTEIO,100000.0
2018,ADILSON ROSSI,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE ITATIBA,ITATIBA,50.119.585/0001-31,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,300000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CARAPICUÍBA,CARAPICUÍBA,44.892.693/0001-40,SAÚDE,REFORMA DE UBS,500000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE PRESIDENTE EPITÁCIO,PRESIDENTE EPITÁCIO,55.293.427/0001-17,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CRUZEIRO,CRUZEIRO,46.668.596/0001-01,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CACHOEIRA   PAULISTA,CACHOEIRA PAULISTA,45.192.275/0001-02,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE ORLÂNDIA,ORLÂNDIA,45.351.749/0001–11,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE RESTINGA,RESTINGA,45.318.581/0001-42,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE LINS,LINS,44.531.788/0001-38,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CAÇAPAVA,CAÇAPAVA,45.189.305/0001-21,SAÚDE,CUSTEIO,100000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CUBATÃO,CUBATÃO,47.492.806/0001-08,SAÚDE,CUSTEIO,150000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE FLOREAL,FLOREAL,53.221.941/0001-11,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,120000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE MORUNGABA,MORUNGABA,45.755.238/0001-65,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ADILSON ROSSI,FUNDAÇÃO SANTA CASA DE MISERICÓRDIA DE FRANCA,FRANCA,47.969.134/0001-89,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,150000.0
2018,ADILSON ROSSI,PREFEITURA MUNICIPAL DE MAIRINQUE,MAIRINQUE,45.944.428/0001-20,SAÚDE,CUSTEIO,105000.0
2018,ADILSON ROSSI,PREFEITURA DE ITATIBA,ITATIBA,50.122.571/0001-77,SAÚDE,CUSTEIO,100000.0
2018,ADILSON ROSSI,PREFEITURA DE RIO CLARO,RIO CLARO,45.774.064/0001-88,SAÚDE,REFORMA DE UNIDADE,100000.0
2018,AFONSO LOBATO,SANTA CASA,APARECIDA,43.667.179/0001-48,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,PREFEITURA,BANANAL,45.196.698/0001-09,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO - 01 VAN,100000.0
2018,AFONSO LOBATO,PREFEITURA,CAÇAPAVA,45.189.305/0001-21,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,150000.0
2018,AFONSO LOBATO,PREFEITURA,CARAGUATATUBA,46.482.840/0001-39,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,100000.0
2018,AFONSO LOBATO,SANTA CASA,CUNHA,47.531.835/0001-31,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,SANTA CASA,ITAPORANGA,46.634.408/0001-16,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,PREFEITURA,LAVRINHAS,45.200.029/0001-55,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - VAN,100000.0
2018,AFONSO LOBATO,PREFEITURA,NATIVIDADE DA SERRA,45.686.227/0001-70,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO - AMBULANCIA,100000.0
2018,AFONSO LOBATO,PREFEITURA,PARAIBUNA,46.643.474/0001-52,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,50000.0
2018,AFONSO LOBATO,PREFEITURA,PINDAMONHANGABA,45.226.214/0001-19,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,195000.0
2018,AFONSO LOBATO,PREFEITURA,QUELUZ,46.670.931/0001-06,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO - AMBULANCIA,100000.0
2018,AFONSO LOBATO,PREFEITURA,SANTO ANTONIO DO PINHAL,45.701.455/0001-72,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - AMBULANCIA,100000.0
2018,AFONSO LOBATO,SANTA CASA,SÃO BENTO DO SAPUCAÍ,45.195.823/0001-58,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,PREFEITURA,SÃO JOSÉ DO BARREIRO,45.200.623/0001-46,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO - 01 VAN,100000.0
2018,AFONSO LOBATO,HOSPITAL PRÓ VISÃO,SÃO JOSÉ DOS CAMPOS,51.619.906/0002-00,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,AFONSO LOBATO,HOSPITAL PIO XII,SÃO JOSÉ DOS CAMPOS,60.194.990/0006-82,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,GAAC - HOSPITAL INFANTIL,SÃO JOSÉ DOS CAMPOS,01.146.603/0001-69,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,SANTA CASA,SÃO LUIZ DO PARAITINGA,60.315.462/0001-20,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,AFONSO LOBATO,PREFEITURA,SÃO SEBASTIÃO,46.482.832/0001-92,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,AFONSO LOBATO,SANTA CASA,TATUÍ,72.189.582/0001-07,SAÚDE,CUSTEIO,100000.0
2018,AFONSO LOBATO,PREFEITURA,TAUBATE,72.306.509/0001-78,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,150000.0
2018,AFONSO LOBATO,PREFEITURA,TAUBATE,72.306.509/0001-78,SAÚDE,01 AMBULÂNCIA - EQUIPAMENTOS,100000.0
2018,AFONSO LOBATO,SANTA CASA,VARGEM GRANDE DO SUL CUSTEIO,72.863.665/0001-30,SAÚDE,,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,RIO DAS PEDRAS,44.826.840/0001-83,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PIRASSUNUNGA,45.731.650/0001-45,SAÚDE,CUSTEIO,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,SANTA BARBARA D’OESTE,46.422.408/0001-52,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,150000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,CORDEIRÓPOLIS,44.660.272/0001-93,SAÚDE,AQUISIÇÃO DE VEICULO DE TRANSPORTE DE PACIENTES,125000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ARARAS,44.215.846/0001-14,SAÚDE,CUSTEIO,170000.0
2018,ALDO DEMARCHI,IRMANDADE DO HOSPITAL E MATERNIDADE CORONEL JUCA FERREIRA,SANTA CRUZ DAS PALMEIRAS,56.784.424/0001-49,SAÚDE,CUSTEIO,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,CERQUEIRA CESAR,46.634.184/0001-42,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ANALÂNDIA,44.659.076/0001-07,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,MONTE APRAZÍVEL,53.221.701/0001-17,SAÚDE,CUSTEIO,150000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PITANGUEIRAS,45.370.707/0001-28,SAÚDE,REFORMA DE UNIDADE,200000.0
2018,ALDO DEMARCHI,HOSPITAL E MATERNIDADE BENEFICENTE DE CHARQUEADA,CHARQUEADA,51.421.279/0001-18,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS E AQUISIÇÃO DE MOBILIARIOS,150000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PORTO FERREIRA,45.339.363/0001-94,SAÚDE,CUSTEIO,150000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PONTES GESTAL,45.162.328/0001-42,SAÚDE,AQUISIÇÃO DE VEICULO DE TRANSPORTE DE PACIENTE,120000.0
2018,ALDO DEMARCHI,HOSPITAL DE BENEMERENCIA SENHOR BOM JESUS,MONTE AZUL PAULISTA,52.941.614/0001-71,SAÚDE,CUSTEIO,80000.0
2018,ALDO DEMARCHI,SANTA CASA,JAU,50.753.631/0001-50,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,SANTA LUCIA,95.594.776/0001-63,SAÚDE,REFORMA DE UNIDADE,100000.0
2018,ALDO DEMARCHI,ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA SOCIAL NOSSA SENHORA DO PARI,SÃO PAULO,05.245.390/0001-83,SAÚDE,CUSTEIO,150000.0
2018,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PIRACICABA,46.341.038/0001-29,SAÚDE,CONSTRUÇÃO DE UNIDADE,250000.0
2018,ALDO DEMARCHI,AACD,SÃO PAULO,60.9797.457/0001-11,SAÚDE,CUSTEIO,50000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,FRANCO DA ROCHA,46.523.080/0001-60,SAÚDE,CUSTEIO,400000.0
2018,ALENCAR SANTANA BRAGA,CASA DE DAVI,SÃO PAULO,61.957.627/0001-20,SAÚDE,CUSTEIO,200000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,GUARULHOS,46.319.000/0001-50,SAÚDE,PROTEÇÃO ANIMAL,100000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,SUZANO,46.523.056/0001-21,SAÚDE,AQUISIÇÃO DE MICRO CHIP PARA ANIMAIS CASTRADOS,50000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,FERRAZ DE VASCONCELOS,46.523.197/0001-44,SAÚDE,AQUISIÇÃO DE VEÍCULO,200000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,MOGI DAS CRUZES,46.523.270/0001-69,SAÚDE,REFORMA DA UBS JD.CAMILA,250000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,ARUJÁ,56.901.275/0001-50,SAÚDE,CUSTEIO,150000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,ITAQUAQUECETUBA,46.316.600/0001-64,SAÚDE,CUSTEIO,150000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,SANTA IZABEL,56.900.848/0001-21,SAÚDE,AQUISIÇÃO DE AMBULÃNCIA,100000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,NANTES,01.997.530/0001-06,SAÚDE,CUSTEIO,100000.0
2018,ALENCAR SANTANA BRAGA,HOSPITAL SANTA MARCELINA,SÃO PAULO,60.742.616/0001-60,SAÚDE,CUSTEIO SAÚDE,150000.0
2018,ALENCAR SANTANA BRAGA,"HOSPITAL E MATERNIDADE JESUS, JOSÉ E MARIA",GUARULHOS,43.987.668/0001-87,SAÚDE,CUSTEIO,445000.0
2018,ALENCAR SANTANA BRAGA,ASSOCIAÇÃO DE MORADORES DO JD.VILA GALVÃO E ADJACÊNCIAS,GUARULHOS,08.727.772/0001-31,SAÚDE,AQUISIÇÃO DE VEÍCULO,50000.0
2018,ALENCAR SANTANA BRAGA,PREFEITURA,MAIRIPORÂ,46.523.163/0001-50,SAÚDE,CUSTEIO,100000.0
2018,ANA DO CARMO,HOSPITAL MÁRIO COVAS,SANTO ANDRÉ,46.374.500/0144-97,SAÚDE,CUSTEIO,245000.0
2018,ANA DO CARMO,PREFEITURA,FRANCISCO MORATO,46.523.072/0001-14,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,FRANCO DA ROCHA,46.523.080/0001-60,SAÚDE,REFORMA,100000.0
2018,ANA DO CARMO,SANTA CASA,IPAUSSÚ,47.644.406/0001-70,SAÚDE,CUSTEIO,90000.0
2018,ANA DO CARMO,PREFEITURA,SANTA ROSA DO VITERBO AQUISIÇÃO DE AMBULÂNCIA,45.368.545/0001-93,SAÚDE,,92000.0
2018,ANA DO CARMO,PREFEITURA,ITATINGA,46.634.127/0001-63,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,PORTO FELIZ,46.634.481/0001-98,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,EMBÚ GUAÇU,46.523.148/0001-01,SAÚDE,AQUISIÇÃO DE VEÍCULO,100000.0
2018,ANA DO CARMO,AACD,SÃO PAULO,60.979.457/0001-11,SAÚDE,CUSTEIO,50000.0
2018,ANA DO CARMO,SANTA CASA,SERRANA,44.2298.130.0001.23,SAÚDE,CUSTEIO,80000.0
2018,ANA DO CARMO,SANTA CASA,SÃO SIMÃO,71.071.666/0001-89,SAÚDE,CUSTEIO,100000.0
2018,ANA DO CARMO,PREFEITURA,SERRA AZUL,44.229.839/0001-71,SAÚDE,CUSTEIO,81000.0
2018,ANA DO CARMO,PREFEITURA,SANTA ISABEL,56.900.848/0001-21,SAÚDE,CUSTEIO,150000.0
2018,ANA DO CARMO,PREFEITURA,RIO GRANDE DA SERRA,46.522.975/0001-80,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,SÃO BERNARDO DO CAMPO,46.523.239/0001-47,SAÚDE,CUSTEIO,400000.0
2018,ANA DO CARMO,PREFEITURA,ARANDÚ,46.634.176/0001-04,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,LAVRINHAS,45.200.029/000-55,SAÚDE,AQUISIÇÃO DE VEÍCULO DE PEQUENO PORTE,31000.0
2018,ANA DO CARMO,PREFEITURA,CRUZEIRO,46.668.596/0001-01,SAÚDE,AQUISIÇÃO DE VEICULO DE PEQUENO PORTE,31000.0
2018,ANA DO CARMO,PREFEITURA,CRAVINHOS,45.228.319/0001-07,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,IBIÚNA,46.634.531/0001-37,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,92000.0
2018,ANA DO CARMO,PREFEITURA,MARINQUE,45.944.428.000-20,SAÚDE,AQUISIÇÃO DE VEICULO DE PEQUENO PORTE,31000.0
2018,ANA DO CARMO,PREFEITURA,SANTO ANDRÉ,46.522.942/0001-30,SAÚDE,REFORMA DO PRONTO ATENDIMENTO DO VILA LUZITA,120000.0
2018,ANA DO CARMO,SANTA CASA,UBATUBA,46.482.857/0001-96,SAÚDE,CUSTEIO,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,AMÉRICO DE CAMPOS,45.160.173/0001-05,SAÚDE,AMBULÂNCIA,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,APARECIDA D’OESTE,46.605.051/0001-48,SAÚDE,VAN AMBULATORIAL,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,CARDOSO,46.599.825/0001-75,SAÚDE,AMBULÂNCIA,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,GENERAL SALGADO,45.660.610/0001-50,SAÚDE,CUSTEIO,50000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,MESÓPOLIS,65.712.069/0001-93,SAÚDE,AMBULÂNCIA,100000.0
2018,ANALICE FERNANDES,SANTA CASA,SANTA ADÉLIA,49.021.348/0001-54,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,50000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,VARGEM GRANDE PAULISTA,51.455.087/0001-22,SAÚDE,CONSTRUÇÃO DE UBS,500000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,BALSAMO,45.142.353/0001-64,SAÚDE,VAN AMBULATORIAL,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,OUROESTE,01611213/0001-12,SAÚDE,"REFORMA E ADEQUAÇÃO DA SALA DE RAIO X, NO PRONTO SOCORRO MUNICIPAL",200000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,SANTA SALETE,01.615.609/0001-38,SAÚDE,VAN AMBULATORIAL,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,BADY BASSIT,45.093.267/0001-09,SAÚDE,AMBULÂNCIA,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,SÃO LOURENÇO DA SERRA,59.058.131/0001-72,SAÚDE,AQUISIÇÃO DE VEÍCULOS PEQUENO PORTE,75000.0
2018,ANALICE FERNANDES,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE POPULINA,POPULINA,65.713.471/0001-92,SAÚDE,CUSTEIO,50000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,URÃNIA,46.611.11710001-02,SAÚDE,AQUISIÇÃO APARELHO RAIO X,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,MACAUBAL,51.848.943/0001-00,SAÚDE,REFORMA CENTRO ODONTOLÓGICO,150000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,FERNANDÓPOLIS,47.842.836/0001-05,SAÚDE,AQUISIÇÃO DE VAN AMBULATORIAL E AMBULÂNCIA,200000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,SÃO LOURENÇO DA SERRA,59.058.131/0001-72,SAÚDE,REFORMA DE P.S.F. - PAIOL DO MEIO,80000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,BARBOSA,46.162.178/0001-30,SAÚDE,AMBULÂNCIA,100000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,POLONI,46.608.063/0001-26,SAÚDE,AMBULÂNCIA,90000.0
2018,ANALICE FERNANDES,PREFEITURA MUNICIPAL,ARIRANHA,45.117.116/0001-43,SAÚDE,VAN AMBULATORIAL,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,AMÉRICO BRASILIENSE,43.976.166/0001-50,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,EMBU DAS ARTES,46.523.114/0001-17,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,CAJAMAR,46.523.023/0001-81,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,GUARUJÁ,44.959.021/0001-04,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS NA ÁREA DA SAÚDE,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,MONTE MOR,45.787.652/0001-56,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,JUQUIÁ,46.585.964/0001-40,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,IGARATÁ,46.694.147/0001-20,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,POTIM,65.042.855/0001-20,SAÚDE,AQUISIÇÃO DE MOBILIÁRIOS E EQUIPAMENTOS PARA SETOR DE FISIOTERAIA,250000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,SANTA BRANCA,46.694.121/0001-81,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,ELDORADO,45.089.885/0001-85,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,ITAOCA,67.360.362/0001-64,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO - APARELHO DE RAIO X,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,PARANAPANEMA,46.634.309/0001-34,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ANDRE DO PRADO,IBCC - INSTITUTO BRASILEIRO DE CONTROLE DO CÂNCER,SÃO PAULO,62.932.942/0001-65,SAÚDE,CUSTEIO,100000.0
2018,ANDRE DO PRADO,AACD - ASSOCIAÇÃO DE ASSISTÊNCIA À CRIANÇA DEFICIENTE,SÃO PAULO,60.979.457/0001-11,SAÚDE,CUSTEIO,50000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,TREMEMBÉ,46.638.714/0001-20,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,JACUPIRANGA,46.582.185/0001-90,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,120000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,FERRAZ DE VASCONCELOS,46.523.197/0001-44,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,LAGOINHA,45.167.111/0001-25,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,PARIQUERA-AÇU,45.685.120/0001-08,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,SÃO JOSÉ DO BARREIRO,45.200.623/0001-46,SAÚDE,AQUISIÇÃO DE UM APARELHO DE ULTRASSOM,145000.0
2018,ANDRE DO PRADO,INSTITUTO DO CÂNCER - DR ARNALDO,SÃO PAULO,60.945.854/0001-72,SAÚDE,CUSTEIO,100000.0
2018,ANDRE DO PRADO,PREFEITURA MUNICIPAL,TAUBATÉ,45.176.005/0001-08,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000.0
2018,ANDRE SOARES,SANTA CASA,RIBEIRÃO BONITO,01.755.400/0001-70,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,ANDRE SOARES,PREFEITURA MUNICIPAL DE MATÃO,MATÃO,45.270.188/0001-26,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000.0
2018,ANDRE SOARES,FUNDAÇÃO ADIB JATENE,SÃO PAULO,53.725.560/0001-70,SAÚDE,CUSTEIO,150000.0
2018,ANDRE SOARES,PREFEITURA DA INSTÂNCIA TURÍSTICA DE IGARAÇU DO TIETÊ,IGARAÇU DO TIETÊ,44.498.467/0001-89,SAÚDE,VEÍCULO PARA TRANSPORTE DE PACIENTE,100000.0
2018,ANDRE SOARES,A BENEFICÊNCIA PORTUGUESA DE SÃO PAULO,SÃO PAULO,61.599.908/0001-58,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,350000.0
