0,1,2,3,4,5,6,7,8,orgaos,unidade,programas,numero de acoes
INDICADOR DEPRODUTO:,SESSÕES LEGISLATIVAS REALIZADAS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
META:,305,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
roposta Orçamentária 2020,Governo do Estado de São Paulo,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.128.0150.4818,ESENVOLVIMENTO DE RECURSOS HUMANOS,,,727.795,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,OUTRAS DESPESASCORRENTES,,727.795,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,UNDO ESPECIAL DEESPESA,727.795,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,UNCIONÁRIOS PARTICIPANTES DE CAPACITAÇÃO E DESENVOLVIMENTO HUMANO,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,UNCIONÁRIOS PARTICIPANTES (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
META:,00,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.126.0150.4820,ESENVOLVIMENTO DE SISTEMAS DE INFORMAÇÃO,,,2.282.465,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,OUTRAS DESPESASCORRENTES,,2.282.465,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,2.282.465,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,ROCESSOS INFORMATIZADOS,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,ROCESSOS INFORMATIZADOS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
META:,20,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.126.0150.5701,ERENCIAMENTO DE RECURSOS DE TECNOLOGIA DANFORMAÇÃO E COMUNICAÇÃO,,,13.944.337,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,OUTRAS DESPESASCORRENTES,,11.944.337,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,UNDO ESPECIAL DEESPESA,3.000.000,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,8.944.337,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,INVESTIMENTOS,,2.000.000,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,UNDO ESPECIAL DEESPESA,2.000.000,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,QUIPAMENTOS EM REDE E SISTEMAS,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,QUIPAMENTOS EM REDE E SISTEMAS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
META:,4.020,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.031.0150.6275,UBLICIDADE INSTITUCIONAL DA ASSEMBLEIA LEGISLATIVAO ESTADO DE SÃO PAULO,,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,OUTRAS DESPESASCORRENTES,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,IVULGAÇÃO DE AÇÕES DE PUBLICIDADE INSTITUCIONAL,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,ÚMERO DE AÇÕES DE COMUNICAÇÃO INSTITUCIONAL REALIZADAS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.031.0150.6320,STUDOS E PESQUISAS PARA SUBSIDIAR ATIVIDADESOLÍTICAS,,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,OUTRAS DESPESASCORRENTES,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,VENTOS REALIZADOS,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,VENTOS REALIZADOS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
roposta Orçamentária 2020,Governo do Estado de São Paulo,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
#102000 - TRIBUNAL DE CONTAS DO ESTADO#1,"Valores em R$ 1,00",,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,"Valores em R$ 1,00",,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
01.032.0200.1361,PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS,,,1.500.012,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,NVESTIMENTOS,,1.500.000,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,UNDO ESPECIAL DEESPESA,1.500.000,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,NVERSÕES FINANCEIRAS,,12,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,UNDO ESPECIAL DEESPESA,12,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
PRODUTO:,MELHORIAS E AMPLIAÇÕES,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
INDICADOR DEPRODUTO:,EXTENSÃO DOS INVESTIMENTOS EM AMPLIAÇÕES E INSTALAÇÕES (unidade),,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
META:,3,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
01.032.0200.4821,CONTROLE E FISCALIZAÇÃO FINANCEIRA E ORÇAMENTÁRIA,,,1.046.169.687,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,ESSOAL E ENCARGOSOCIAIS,,945.800.726,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,ESOURO DO ESTADO,945.800.726,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,UTRAS DESPESASORRENTES,,97.642.973,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,UNDO ESPECIAL DEESPESA,933.828,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,ESOURO DO ESTADO,96.709.145,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,NVESTIMENTOS,,2.725.988,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,UNDO ESPECIAL DEESPESA,2.725.988,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
PRODUTO:,FISCALIZAÇÕES REALIZADAS,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
INDICADOR DEPRODUTO:,FISCALIZAÇÕES ORDINÁRIAS REALIZADAS (unidade),,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
META:,3.289,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
roposta Orçamentária 2020,Governo do Estado de São Paulo,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
01.032.0200.6304,LANO DE CAPACITAÇÃO DE SERVIDORES DO TCE/SP,,,1.454.106,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,OUTRAS DESPESASCORRENTES,,1.454.106,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,FUNDO ESPECIAL DEDESPESA,1.454.106,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
,,,,,,,,,ÓRGÃO:   02000 - TRIBUNAL DE CONTAS DO ESTADO,UNIDADE:   02001 - TRIBUNAL DE CONTAS DO ESTADO,PROGRAMA:     0200    CONTROLE EXTERNO,3
