programa,orgao,finialidade_programa,produto,finialidade_produto,indicador_produto,acao,value_indicador_produto
0200 - CONTROLE EXTERNO,02000 - TRIBUNAL DE CONTAS DO ESTADO,FINALÍSTICO,PRODUTO: MELHORIAS E AMPLIAÇÕES,MELHORIA DE GESTÃO,EXTENSÃO DOS INVESTIMENTOS EM AMPLIAÇÕES E INSTALAÇÕES (UNIDADE),1361 - PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS,2.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: TRANSPORTE DOS OFICIAIS DE JUSTIÇA EM DILIGÊNCIAS JUDICIAIS,FINALÍSTICO,DILIGÊNCIAS REALIZADAS (UNIDADE),4567 - DILIGÊNCIAS JUDICIAIS,4663249.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: SERVIÇOS DE PRESTAÇÃO JURISDICIONAL NO PRIMEIRO E NOSEGUNDO GRAU,FINALÍSTICO,AÇÕES JULGADAS (UNIDADE),4826 - DISTRIBUIÇÃO DA JUSTIÇA,4941781.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: SERVIÇOS DE PRESTAÇÃO JURISDICIONAL NO PRIMEIRO E NOSEGUNDO GRAU,FINALÍSTICO,PERCENTUAL DE AÇÕES JULGADAS (%),4826 - DISTRIBUIÇÃO DA JUSTIÇA,81.4
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: PROCESSOS DIGITAIS,FINALÍSTICO,PERCENTUAL DE PROCESSOS DIGITAIS EM ANDAMENTO (%),"4827 - DESENVOLVIMENTO, IMPLEMENTAÇÃO E MANUTENÇÃO DE SISTEMAS DE INFORMAÇÃO",69.24
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: PROCESSOS DIGITAIS,FINALÍSTICO,QUANTIDADE DE PROCESSOS DIGITAIS (UNIDADE),"4827 - DESENVOLVIMENTO, IMPLEMENTAÇÃO E MANUTENÇÃO DE SISTEMAS DE INFORMAÇÃO",1601908.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: MATÉRIAS GERADAS PARA TRANSPARÊNCIA DAS AÇÕES DA INSTITUIÇÃO,FINALÍSTICO,MATÉRIAS VEICULADAS (UNIDADE),6020 - COMUNICAÇÃO INSTITUCIONAL,134700.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: DESENVOLVIMENTO DE ATIVIDADES CORREICIONAIS,FINALÍSTICO,UNIDADES JURISDICIONAIS CORREICIONADAS (UNIDADE),6164 - FUNCIONAMENTO DA CORREGEDORIA GERAL DA JUSTIÇA,650.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,PRODUTO: CONCILIAÇÃO E MEDIAÇÃO DE CONFLITOS,FINALÍSTICO,CONCILIAÇÕES E MEDIAÇÕES REALIZADAS (UNIDADE),8316 - SOLUÇÕES ALTERNATIVAS DE CONFLITOS,212925.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,"PRODUTO: CONSTRUÇÃO, REFORMAS E AQUISIÇÃO DE IMÓVEIS",MELHORIA DE GESTÃO,"CONSTRUÇÃO, REFORMAS E AQUISIÇÃO DE IMÓVEIS (UNIDADE)",1941 - INFRAESTRUTURA DE PRÉDIOS JUDICIAIS,17.0
0303 - PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA,03000 - TRIBUNAL DE JUSTIÇA,FINALÍSTICO,"PRODUTO: CURSOS, TREINAMENTOS E PALESTRAS",MELHORIA DE GESTÃO,CERTIFICADOS EMITIDOS (UNIDADE),4822 - FUNCIONAMENTO DA ESCOLA PAULISTA DA MAGISTRATURA,56000.0
0600 - PROCESSO JUDICIÁRIO MILITAR,06000 - TRIBUNAL DE JUSTIÇA MILITAR,FINALÍSTICO,PRODUTO: AÇÕES JULGADAS,FINALÍSTICO,AÇÕES JULGADAS (UNIDADE),4832 - DISTRIBUIÇÃO DE JUSTIÇA MILITAR,5296.0
0600 - PROCESSO JUDICIÁRIO MILITAR,06000 - TRIBUNAL DE JUSTIÇA MILITAR,FINALÍSTICO,PRODUTO: MATÉRIAS VEICULADAS,FINALÍSTICO,MATÉRIAS VEICULADAS (UNIDADE),6134 - COMUNICAÇÃO E DIVULGAÇÃO INSTITUCIONAL,6.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,"PRODUTO: GESTÃO DA APRENDIZAGEM: FORMAÇÃO, ENSINO, MONITORAMENTO E AVALIAÇÃO",FINALÍSTICO,PERCENTUAL DE ALUNOS QUE REALIZARAM A AVALIAÇÃO DE SISTEMA NO TOTAL DAS SÉRIES EM QUE SE REALIZARAM AS PROVAS NAREDE ESTADUAL (%),"6177 - MONITORAMENTO, MELHORIA E AVALIAÇÃO DOS RESULTADOS EDUCACIONAIS",87.16
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,"PRODUTO: GESTÃO DA APRENDIZAGEM: FORMAÇÃO, ENSINO, MONITORAMENTO E AVALIAÇÃO",FINALÍSTICO,PERCENTUAL DE ALUNOS QUE REALIZARAM A  AVALIAÇÃO EM PROCESSO  NA REDE ESTADUAL (%),"6177 - MONITORAMENTO, MELHORIA E AVALIAÇÃO DOS RESULTADOS EDUCACIONAIS",97.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: OPÇÕES DE ITINERÁRIOS FORMATIVOS OFERECIDOS AOS ALUNOS DO ENSINO MÉDIO,FINALÍSTICO,NÚMERO DE ESCOLAS QUE OFERECEM 2 OU MAIS ITINERÁRIOS FORMATIVOS (UNIDADE),6343 - FLEXIBILIZAÇÃO CURRICULAR DO ENSINO MÉDIO,3643.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: OPÇÕES DE ITINERÁRIOS FORMATIVOS OFERECIDOS AOS ALUNOS DO ENSINO MÉDIO,FINALÍSTICO,NÚMERO DE MATRÍCULAS EM ENSINO TÉCNICO E/OU PROFISSIONALIZANTE (UNIDADE),6343 - FLEXIBILIZAÇÃO CURRICULAR DO ENSINO MÉDIO,795247.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ATENDIMENTO NA EDUCAÇÃO BÁSICA,FINALÍSTICO,MATRÍCULAS NO ENSINO FUNDAMENTAL E MÉDIO DA REDE ESTADUAL (UNIDADE),5160 - DESENVOLVIMENTO E GESTÃO DO ENSINO FUNDAMENTAL-SERVIDORES-FUNDEB,3323351.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO INTEGRAL OFERECIDA AOS ALUNOS,FINALÍSTICO,NO DE ALUNOS COM JORNADA ESCOLAR DE 7 HORAS OU MAIS (UNIDADE),6136 - IMPLEMENTAÇÃO DA EDUCAÇÃO INTEGRAL NA REDE ESTADUAL,446000.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO INTEGRAL OFERECIDA AOS ALUNOS,FINALÍSTICO,PERCENTUAL DE MATRÍCULAS EM ESCOLAS QUE PROMOVEM O DESENVOLVIMENTO DO PROJETO DE VIDA DO ESTUDANTE (%),6136 - IMPLEMENTAÇÃO DA EDUCAÇÃO INTEGRAL NA REDE ESTADUAL,100.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: MATERIAIS E RECURSOS DIDÁTICO-PEDAGÓGICOS OFERTADOS AOS ALUNOS E PROFISSIONAIS,FINALÍSTICO,NÚMERO DE ALUNOS QUE RECEBERAM OS MATERIAIS IMPRESSOS OU DIGITAIS DE APOIO À IMPLEMENTAÇÃO DO CURRÍCULO (UNIDADE),6168 - PROVISÃO DE MATERIAIS DIDÁTICOS E DE APOIO PEDAGÓGICO EM VERSÃO IMPRESSA/DIGITAL,3323351.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: MATERIAIS E RECURSOS DIDÁTICO-PEDAGÓGICOS OFERTADOS AOS ALUNOS E PROFISSIONAIS,FINALÍSTICO,PERCENTUAL DE ESCOLAS QUE RECEBERAM MATERIAIS IMPRESSOS ATÉ O INÍCIO DO SEMESTRE (%),6168 - PROVISÃO DE MATERIAIS DIDÁTICOS E DE APOIO PEDAGÓGICO EM VERSÃO IMPRESSA/DIGITAL,100.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ATIVIDADES COMPLEMENTARES AO CURRÍCULO E CONEXÃO COM A COMUNIDADE ESCOLAR,FINALÍSTICO,NÚMERO DE ALUNOS PARTICIPANTES EM PROJETOS DE ENRIQUECIMENTO CURRICULAR (UNIDADE),"6169 - VIABILIZAÇÃO DE CURSOS DE IDIOMAS, ATIVIDADES COMPLEMENTARES E ESCOLA ABERTA",2037755.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO ESPECIAL,FINALÍSTICO,NÚMERO DE ALUNOS PÚBLICO-ALVO DA EDUCAÇÃO ESPECIAL INCLUIDOS NA REDE REGULAR (UNIDADE),5156 - ATENDIMENTO ESPECIALIZADO A ALUNOS DA EDUCAÇÃO BÁSICA,58615.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO ESPECIAL,FINALÍSTICO,PERCENTUAL DE ALUNOS ATENDIDOS EM SALAS DE RECURSOS (%),5156 - ATENDIMENTO ESPECIALIZADO A ALUNOS DA EDUCAÇÃO BÁSICA,38.39
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO DE JOVENS E ADULTOS E ATENDIMENTO ESCOLAR PARA PÚBLICOS ESPECÍFICOS,FINALÍSTICO,MATRÍCULAS DE EDUCAÇÃO DE JOVENS E ADULTOS E PÚBLICOS ESPECÍFICOS (UNIDADE),5745 - ATENDIMENTO A JOVENS E ADULTOS NA EDUCAÇÃO BÁSICA - EJA E PÚBLICOS ESPECÍFICOS,308010.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: EDUCAÇÃO DE JOVENS E ADULTOS E ATENDIMENTO ESCOLAR PARA PÚBLICOS ESPECÍFICOS,FINALÍSTICO,PERCENTUAL DE ALUNOS DA EDUCAÇÃO DE JOVENS E ADULTOS (EJA) NA REDE ESTADUAL QUE CONCLUÍRAM O ENSINO MÉDIO (%),5745 - ATENDIMENTO A JOVENS E ADULTOS NA EDUCAÇÃO BÁSICA - EJA E PÚBLICOS ESPECÍFICOS,73.5
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: DESENVOLVIMENTO E APERFEIÇOAMENTO DOS PROFISSIONAIS DA EDUCAÇÃO (REDES PÚBLICAS),FINALÍSTICO,PERCENTUAL DE PROFISSIONAIS DA EDUCAÇÃO DA REDE ESTADUAL QUE CONCLUÍRAM AS AÇÕES FORMATIVAS (%),6175 - FORMAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO: REDES ESTADUAL E  MUNICIPAL,96.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: DESENVOLVIMENTO E APERFEIÇOAMENTO DOS PROFISSIONAIS DA EDUCAÇÃO (REDES PÚBLICAS),FINALÍSTICO,PERCENTUAL DE VAGAS OFERTADAS PARA CAPACITAÇÃO DA REDE ESTADUAL (%),6175 - FORMAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO: REDES ESTADUAL E  MUNICIPAL,78.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ORIENTAÇÃO E SUPORTE AOS COLEGIADOS ESCOLARES E À GESTÃO DEMOCRÁTICA,FINALÍSTICO,"PERCENTUAL DE ESCOLAS QUE CONTAM COM  O CONJUNTO DE GRÊMIOS, CONSELHOS DE ESCOLA E ASSOCIAÇÃO DE PAIS E MESTRESEM FUNCIONAMENTO (%)",8277 - FORTALECIMENTO DA PARTICIPAÇÃO DA COMUNIDADE ESCOLAR NA GESTÃO DA ESCOLA,85.0
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: UNIDADES ESCOLARES COMO AMBIENTES PROTEGIDOS E COM BOA CONVIVÊNCIA,FINALÍSTICO,PERCENTUAL DE UNIDADES ESCOLARES ATENDIDAS PELO SISTEMA DE PROTEÇÃO E CONVIVÊNCIA ESCOLAR (%),"8278 - AÇÕES INTERDISCIPLINARES DE PREVENÇÃO, PROTEÇÃO E CONVIVÊNCIA NAS ESCOLAS",57.14
0800 - APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ESTUDOS PARA IMPLEMENTAÇÃO DE ESCOLAS EM PARCERIA COM ORGANIZAÇÕES DA SEG.PUBL.,MELHORIA DE GESTÃO,NÚMERO DE PARCERIAS FIRMADAS COM ESTUDOS ELABORADOS EM CONSONÂNCIA COM AS CONCEPÇÕES DO CURRÍCULO PAULISTA(UNIDADE),8338 - ELABORAÇÃO DE ESTUDOS PARA IMPLEMENTAÇÃO DE ESCOLAS EM PARCERIA COM ORGANIZAÇÕES,1.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ALIMENTAÇÃO ESCOLAR OFERECIDA AOS ALUNOS DA REDE ESTADUAL,FINALÍSTICO,NÚMERO DE ALUNOS ATENDIDOS PELO SERVIÇO DE ALIMENTAÇÃO ESCOLAR (UNIDADE),6172 - FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR AOS ALUNOS DA EDUCAÇÃO BÁSICA,2419400.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: TRANSPORTE ESCOLAR REGULAR E ESPECIALIZADO GARANTIDO,FINALÍSTICO,PERCENTUAL DE ALUNOS DA REDE ESTADUAL TRANSPORTADOS (%),5740 - TRANSPORTE DE ALUNOS DA EDUCAÇÃO BÁSICA,10.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: REDE FÍSICA ESCOLAR ADEQUADA PARA A APRENDIZAGEM A PARTIR DO CURRÍCULO PAULISTA,FINALÍSTICO,NÚMERO DE INTERVENÇÕES DE INFRAESTRUTURA FÍSICA NOS PRÉDIOS DA REDE ESTADUAL DE ENSINO (UNIDADE),"2494 - MELHORIAS, MANUTENÇÃO E AMPLIAÇÃO DA REDE FÍSICA ESCOLAR",1000.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: REDE FÍSICA ESCOLAR ADEQUADA PARA A APRENDIZAGEM A PARTIR DO CURRÍCULO PAULISTA,FINALÍSTICO,PERCENTUAL DE SERVIÇOS DE MANUTENÇÃO ATENDIDOS NO TOTAL DOS SERVIÇOS SOLICITADOS NO ANO (%),"2494 - MELHORIAS, MANUTENÇÃO E AMPLIAÇÃO DA REDE FÍSICA ESCOLAR",100.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,"PRODUTO: EQUIPAMENTOS, MOBILIÁRIO,SUPRIMENTO,SERVIÇOS E KIT ESCOLAR PARA O NOVO CURRÍCULO",FINALÍSTICO,PERCENTUAL DE ESCOLAS ATENDIDAS COM REPOSIÇÃO DE MATERIAL PERMANENTE E PARA CONSUMO PARA APOIO À APRENDIZAGEM (%),6174 - OPERAÇÃO DA REDE DE ENSINO BÁSICO,50.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: PARCERIAS ESTADO-MUNICÍPIOS PARA CONSTRUÇÕES ESCOLARES,MELHORIA DE GESTÃO,NÚMERO DE CRECHES CONSTRUÍDAS (UNIDADE),5810 - AÇÃO COOPERATIVA ESTADO-MUNICÍPIO PARA CONSTRUÇÕES OU AMPLIAÇÕES ESCOLARES,300.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: PARCERIAS ESTADO-MUNICÍPIOS PARA CONSTRUÇÕES ESCOLARES,MELHORIA DE GESTÃO,NÚMERO DE OBRAS CONVENIADAS EM ANDAMENTO (UNIDADE),5810 - AÇÃO COOPERATIVA ESTADO-MUNICÍPIO PARA CONSTRUÇÕES OU AMPLIAÇÕES ESCOLARES,400.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: FORTALECIMENTO DA AUTOGESTÃO ESCOLAR E DA PARTICIPAÇÃO DA COMUNIDADE,MELHORIA DE GESTÃO,NÚMERO DE ESCOLAS QUE ADERIRAM AO PROGRAMA DE REPASSE DE RECURSOS (UNIDADE),8293 - APOIO FINANCEIRO ÀS ESCOLAS PÚBLICAS DE EDUCAÇÃO BÁSICA DA REDE ESTADUAL,2550.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ENGAJAMENTO DA REDE ESTADUAL POR MEIO AÇÕES DE COMUNICAÇÃO,MELHORIA DE GESTÃO,PRODUÇÃO DE CONTEÚDO INFORMATIVO (UNIDADE),8326 - FORTALECIMENTO DA COMUNICAÇÃO COM A REDE ESTADUAL DE ENSINO.,1300.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: ENGAJAMENTO DA REDE ESTADUAL POR MEIO AÇÕES DE COMUNICAÇÃO,MELHORIA DE GESTÃO,RETORNO DO CONTEÚDO INFORMATIVO (%),8326 - FORTALECIMENTO DA COMUNICAÇÃO COM A REDE ESTADUAL DE ENSINO.,60.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: INOVAÇÃO E MELHORIA NOS PROCESSOS DE GESTÃO DA SECRETARIA DE EDUCAÇÃO,MELHORIA DE GESTÃO,PERCENTUAL DE PROCESSOS PRIORIZADOS E MAPEADOS (%),6291 - IMPLEMENTAÇÃO DE CONFORMIDADE NA GESTÃO DA SECRETARIA DA EDUCAÇÃO,66.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: PROFISSIONALIZAÇÃO E GESTÃO DE PESSOAS COM FOCO NA APRENDIZAGEM,MELHORIA DE GESTÃO,PERCENTUAL DE ABSENTEÍSMO DOS PROFISSIONAIS DA EDUCAÇÃO (%),"6290 - SELEÇÃO, PROMOÇÃO,PROGRESSÃO E EVOLUÇÃO DOS PROFISSIONAIS/SERVIDORES DA EDUCAÇÃO",11.34
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,FINALÍSTICO,PRODUTO: PROFISSIONALIZAÇÃO E GESTÃO DE PESSOAS COM FOCO NA APRENDIZAGEM,MELHORIA DE GESTÃO,PERCENTUAL DE PROFESSORES QUE CUMPREM TODA A SUA JORNADA EM UMA MESMA ESCOLA ESTADUAL (%),"6290 - SELEÇÃO, PROMOÇÃO,PROGRESSÃO E EVOLUÇÃO DOS PROFISSIONAIS/SERVIDORES DA EDUCAÇÃO",30.0
0932 - VIGILÂNCIA EM SAÚDE,09000 - SECRETARIA DA SAÚDE,FINALÍSTICO,PRODUTO: IMUNIZAÇÃO CONTRA DOENÇAS IMUNOPREVENÍVEIS,FINALÍSTICO,NÚMERO DE DOSES DE VACINAS APLICADAS (UNIDADE),4124 - IMUNIZAÇÃO DA POPULAÇÃO HUMANA,32000000.0
0932 - VIGILÂNCIA EM SAÚDE,09000 - SECRETARIA DA SAÚDE,FINALÍSTICO,"PRODUTO: VIGILÂNCIA SANITÁRIA DE PROD., SERV. MEIO AMB. E SAÚDE DO TRABALHADOR",FINALÍSTICO,PERCENTUAL DE ESTABELECIMENTOS DE MAIOR POTENCIAL DE RISCO SANITÁRIO MONITORADOS PELOS SERVIÇOS DE VIGILÂNCIASANITÁRIA ESTADUAL (%),4127 - CONTROLE E VIGILÂNCIA SANITÁRIA,44.0
0932 - VIGILÂNCIA EM SAÚDE,09000 - SECRETARIA DA SAÚDE,FINALÍSTICO,"PRODUTO: VIGILÂNCIA SANITÁRIA DE PROD., SERV. MEIO AMB. E SAÚDE DO TRABALHADOR",FINALÍSTICO,PERCENTUAL DE INVESTIGAÇÃO DE CASOS DE ACIDENTES E VIOLÊNCIAS RELACIONADAS AO TRABALHO (%),4127 - CONTROLE E VIGILÂNCIA SANITÁRIA,100.0
0932 - VIGILÂNCIA EM SAÚDE,09000 - SECRETARIA DA SAÚDE,FINALÍSTICO,"PRODUTO: VIGILÂNCIA AMBIENTAL DA QUALIDADE DA ÁGUA, ÁREAS CONTAMINADAS E FATORES DE RISCO",FINALÍSTICO,GRUPOS DE VIGILÂNCIA EPIDEMIOLÓGICA (GVE) E GRUPOS DE VIGILÂNCIA SANITÁRIA (GVS) CAPACITADOS PARA DESENVOLVERATIVIDADES DE VIGILÂNCIA AMBIENTAL (UNIDADE),6244 - VIGILÂNCIA AMBIENTAL,55.0
